"resource_id","department","aws_service","environment","waste_category","recommendation","estimated_savings"
"rds-billing-operations-prod-120","Billing Operations","RDS","prod","untagged","Add owner and cost-center tags","440"
"rds-engineering-prod-33","Engineering","RDS","prod","untagged","Add owner and cost-center tags","433"
"rds-engineering-dev-88","Engineering","RDS","dev","storage_tier","Move older files to cheaper S3 storage class","369"
"ec2-billing-operations-dev-80","Billing Operations","EC2","dev","idle","Schedule shutdown after business hours","326"
"ec2-reporting-analytics-test-23","Reporting Analytics","EC2","test","storage_tier","Move older files to cheaper S3 storage class","292"
"rds-billing-operations-test-2","Billing Operations","RDS","test","idle","Schedule shutdown after business hours","285"
"rds-billing-operations-prod-28","Billing Operations","RDS","prod","storage_tier","Move older files to cheaper S3 storage class","252"
"glue-reporting-analytics-prod-136","Reporting Analytics","Glue","prod","storage_tier","Move older files to cheaper S3 storage class","228"
"s3-engineering-test-72","Engineering","S3","test","overprovisioned","Review sizing and downsize resource","206"
"ec2-reporting-analytics-test-123","Reporting Analytics","EC2","test","overprovisioned","Review sizing and downsize resource","205"
