"department","aws_service","environment","untagged_resource_count"
"Admin","QuickSight","dev","2"
"Engineering","Athena","dev","2"
"Admin","Athena","prod","1"
"Admin","Athena","test","1"
"Reporting Analytics","Athena","test","1"
"Billing Operations","S3","test","1"
"Claims Processing","EC2","test","1"
"Admin","RDS","test","1"
"Billing Operations","RDS","prod","1"
"Reporting Analytics","EC2","prod","1"
"Billing Operations","EC2","dev","1"
"Reporting Analytics","S3","dev","1"
"Claims Processing","Athena","prod","1"
"Billing Operations","S3","dev","1"
"Billing Operations","RDS","dev","1"
"Billing Operations","Athena","prod","1"
"Engineering","RDS","prod","1"
"Claims Processing","CloudWatch","test","1"
"Admin","Lambda","prod","1"
"Reporting Analytics","Athena","prod","1"
"Engineering","Athena","prod","1"
"Reporting Analytics","QuickSight","prod","1"
"Engineering","S3","prod","1"
"Reporting Analytics","Athena","dev","1"
"Claims Processing","Glue","test","1"
"Admin","Athena","dev","1"
